class,row,col,band,gt,pred
Water,84,13,0,0.27925679087638855,0.2717176079750061
Water,84,13,1,0.2685801386833191,0.2609935402870178
Water,84,13,2,0.25984469056129456,0.2573973536491394
Water,84,13,3,0.2580421566963196,0.2580421566963196
Water,84,13,4,0.25180256366729736,0.25180256366729736
Water,84,13,5,0.260260671377182,0.26041972637176514
Water,84,13,6,0.23613421618938446,0.23658491671085358
Water,84,13,7,0.22504159808158875,0.22918865084648132
Water,84,13,8,0.22212977707386017,0.2286818027496338
Water,84,13,9,0.20313367247581482,0.20978349447250366
Water,84,13,10,0.19814199209213257,0.21141402423381805
Water,84,13,11,0.19703271985054016,0.20589740574359894
Water,84,13,12,0.1871880143880844,0.20082500576972961
Water,84,13,13,0.1860787570476532,0.19910182058811188
Water,84,13,14,0.17249029874801636,0.19205394387245178
Water,84,13,15,0.16250693798065186,0.18192946910858154
Water,84,13,16,0.15654464066028595,0.1784002035856247
Water,84,13,17,0.1483638435602188,0.16851653158664703
Water,84,13,18,0.13713255524635315,0.16266515851020813
Water,84,13,19,0.12881308794021606,0.15248876810073853
Water,84,13,20,0.122712142765522,0.14352987706661224
Water,84,13,21,0.11772046238183975,0.14132657647132874
Water,84,13,22,0.11009428650140762,0.1343168020248413
Water,84,13,23,0.1030227392911911,0.12395457923412323
Water,84,13,24,0.10205213725566864,0.12087283283472061
Water,84,13,25,0.09525790065526962,0.11546768993139267
Water,84,13,26,0.0881863534450531,0.10588308423757553
Water,84,13,27,0.09026622027158737,0.10463686287403107
Water,84,13,28,0.08541320264339447,0.09430935978889465
Water,84,13,29,0.07501386851072311,0.08136815577745438
Water,84,13,30,0.08250138908624649,0.08250138908624649
Water,84,13,31,0.08541320264339447,0.09484599530696869
Water,84,13,32,0.07626178860664368,0.08342842757701874
Water,84,13,33,0.05698835104703903,0.060395412147045135
Water,84,13,34,0.07986688613891602,0.08611536771059036
Water,84,13,35,0.08042152225971222,0.08544207364320755
Water,84,13,36,0.07640044391155243,0.07959219813346863
Water,84,13,37,0.07113144546747208,0.07803276181221008
Water,84,13,38,0.06697171181440353,0.06726101785898209
Water,84,13,39,0.05976150929927826,0.06419243663549423
Water,84,13,40,0.06433721631765366,0.06467527896165848
Water,84,13,41,0.06627842783927917,0.06613003462553024
Water,84,13,42,0.06516916304826736,0.06748577952384949
Water,84,13,43,0.06156405806541443,0.06402593106031418
Water,84,13,44,0.059206876903772354,0.059496041387319565
Water,84,13,45,0.057404324412345886,0.057404324412345886
Water,84,13,46,0.04811425507068634,0.04765908792614937
Water,84,13,47,0.044509150087833405,0.04400983080267906
Water,84,13,48,0.04603438824415207,0.04292398318648338
Water,84,13,49,0.05684969574213028,0.04944169893860817
Water,84,13,50,0.11439267545938492,0.0844235047698021
Water,84,13,51,0.08943427354097366,0.07215394824743271
Water,84,13,52,0.020937327295541763,0.036932311952114105
Water,84,13,53,0.026899611577391624,0.026899611577391624
Water,84,13,54,0.03702162951231003,0.03702162951231003
Water,84,13,55,0.036605656147003174,0.036605656147003174
Water,84,13,56,0.05130338296294212,0.0464971549808979
Water,84,13,57,0.056156404316425323,0.05019511282444
Water,84,13,58,0.04922351613640785,0.052867114543914795
Water,84,13,59,0.05809761583805084,0.05187468230724335
Water,84,13,60,0.08125346899032593,0.06099614500999451
